# start kilometer post, radius of curvature, end kilometer post
0,0,91
91,1000,174
174,0,451
451,1000,628
628,0,695
695,350,1265
1265,0,1692
1692,800,1945
1945,0,2686
2686,0,2806
2806,0,3091
3091,463,3724
3724,0,3961
3961,0,4081
4081,0,4164
4164,800,4548
4548,0,4637
4637,1000,4815
4815,0,5249
5249,1504,5358
5358,0,5708
5708,604,5925
5925,0,6045
6045,446,6320
6320,0,6327
6327,0,6458
6458,596,7071
7071,0,7224
7224,996,7928
7928,0,8309
8309,0,8429
8429,0,8484
8484,1496,8813
8813,0,9302
9302,0,9424
9424,804,10701
10701,0,10840
10840,0,10960
10960,0,12120
12120,0,12240
12240,0,13474
13474,0,13595
13595,0,14885
14885,376,15535
15535,0,15812
15812,0,15932
15932,0,16947
16947,3004,17015
17015,0,17212
17212,2996,17280
17280,0,18077
18077,0,18197
18197,3000,18859
18859,0,18919
18919,0,19173
19173,1195,19407
19407,0,19772
19772,1200,19915
19915,0,20163
20163,0,20283
20283,0,21291
21291,3000,21314
21314,0,21354
21354,3000,21378
21378,0,21449
21449,0,21569
21569,0,22528
22528,3000,22626
22626,0,22783
22783,0,22904
22904,350,22942
22942,0,23062
23062,0,23134
23134,345,23254
23254,0,23556
23556,0,23803
