# start kilometer post, speed limit, end kilometer post
0,80,91
91,55,174
174,50,451
451,80,695
695,65,1265
1265,80,2686
2686,55,2806
2806,80,3961
3961,55,4081
4081,80,6045
6045,75,6320
6320,80,6327
6327,55,6458
6458,80,8309
8309,55,8429
8429,80,9302
9302,55,9424
9424,80,10840
10840,55,10960
10960,80,12120
12120,55,12240
12240,80,13474
13474,55,13595
13595,80,14885
14885,70,15535
15535,80,15812
15812,55,15932
15932,80,18077
18077,55,18197
18197,80,20163
20163,55,20283
20283,80,21449
21449,55,21569
21569,80,22783
22783,55,22904
22904,40,22942
22942,80,23134
23134,70,23254
23254,80,23556
23556,70,23803
