起始公里标,坡度,终点公里标
0,-2,355
355,-3,535
535,12.078,865
865,3.158,1525
1525,-8.041,2055
2055,3,2425
2425,4.254,2625
2625,-2,2945
2945,-3.84,3325
3325,8.097,3745
3745,2,4115
4115,-20.219,4375
4375,-23.831,4535
4535,-24,4975
4975,0,5375
5375,-1.996,5975
5975,-3.2,6225
6225,0,6545
6545,3.25,6945
6945,2.83,7325
7325,-15.6,7590
7590,9,7850
7850,0,8550
8550,5.012,8910
8910,-2,9210
9210,0,9540
9540,-2,9980
9980,5,10300
10300,2.961,10780
10780,0,11040
11040,2,11600
11600,-3,12000
12000,0,12290
12290,3.5,12910
12910,-1.8,13290
13290,0,13700
13700,-0.5,14100
14100,1.5,14720
14720,-1,15350
15350,6.135,15650
15650,0,16180
16180,-8,16500
16500,-3,16870
16870,5,17310
17310,1.35,17990
17990,0,18310
18310,15.5,18660
18660,24,19360
19360,-3,19600
19600,10.105,19950
19950,2,20295
20295,-3,20970
20970,3,21405
21405,2,21655
21655,20,21855
21855,3.133,22250
22250,-19.7,22590
22590,2,23194
23194,2,23214
23214,-10,23344
23344,-34.47,23571
23571,-34.03,23769
23769,0,23803.34
